WigleWifi-1.4,appRelease=2.38,model=Redmi Note 4,release=6.0,device=nikel,display=MRA58K,board=unknown,brand=Xiaomi
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
8c:0c:90:2f:ca:58,Ariel_University,[ESS],2018-11-29 17:21:26,1,-66,32.1055783333333,35.2052883333333,633.3,3.20000004768372,WIFI
34:fa:9f:14:a3:a8,Ariel_University,[ESS],2018-11-29 17:21:26,1,-79,32.1055783333333,35.2052883333333,633.3,3.20000004768372,WIFI
8c:0c:90:2d:7a:b8,Ariel_University,[ESS],2018-11-29 17:21:26,11,-89,32.1055783333333,35.2052883333333,633.3,3.20000004768372,WIFI
34:fa:9f:13:de:bc,Ariel_University,[ESS],2018-11-29 17:21:31,36,-66,32.1055466666667,35.2053183333333,633.2,3.29999995231628,WIFI
14:ae:db:ce:f4:6d,Mazor,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-11-29 17:21:31,11,-74,32.1055466666667,35.2053183333333,633.2,3.29999995231628,WIFI
34:fa:9f:13:de:b8,Ariel_University,[ESS],2018-11-29 17:21:31,11,-72,32.1055466666667,35.2053183333333,633.2,3.29999995231628,WIFI
8c:0c:90:2d:7a:b8,Ariel_University,[ESS],2018-11-29 17:21:31,11,-78,32.1055466666667,35.2053183333333,633.2,3.29999995231628,WIFI
34:fa:9f:15:36:98,Ariel_University,[ESS],2018-11-29 17:21:31,11,-89,32.1055466666667,35.2053183333333,633.2,3.29999995231628,WIFI
e0:10:7f:09:99:48,Ariel_University,[ESS],2018-11-29 17:21:45,6,-65,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
8c:0c:90:2f:36:48,Ariel_University,[ESS],2018-11-29 17:21:45,11,-67,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
24:c9:a1:36:2a:68,Ariel_University,[ESS],2018-11-29 17:21:45,6,-59,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
8c:0c:90:2d:79:78,Ariel_University,[ESS],2018-11-29 17:21:45,1,-64,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
8c:0c:90:2e:19:08,Ariel_University,[ESS],2018-11-29 17:21:45,6,-80,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
34:fa:9f:14:a3:ac,Ariel_University,[ESS],2018-11-29 17:21:45,36,-82,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
8c:0c:90:2d:7a:b8,Ariel_University,[ESS],2018-11-29 17:21:45,11,-73,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
34:fa:9f:14:1a:ec,Ariel_University,[ESS],2018-11-29 17:21:45,44,-87,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
50:a7:33:07:59:a8,Ariel_University,[ESS],2018-11-29 17:21:45,11,-85,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
00:1a:2f:7f:6b:70,,[WPA2-PSK-CCMP][ESS],2018-11-29 17:21:45,13,-88,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
34:fa:9f:14:1a:e8,Ariel_University,[ESS],2018-11-29 17:21:45,1,-73,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
84:18:3a:04:41:88,Ariel_University,[ESS],2018-11-29 17:21:45,6,-79,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
34:fa:9f:15:36:9c,Ariel_University,[ESS],2018-11-29 17:21:45,36,-94,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
f0:b0:52:3e:ca:38,Ariel_University,[ESS],2018-11-29 17:21:45,11,-85,32.1054483333333,35.205415,633.7,3.70000004768372,WIFI
e0:10:7f:1e:55:48,Ariel_University,[ESS],2018-11-29 17:21:48,11,-56,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
8c:0c:90:30:04:68,Ariel_University,[ESS],2018-11-29 17:21:48,11,-67,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
34:fa:9f:14:a3:ac,Ariel_University,[ESS],2018-11-29 17:21:48,36,-76,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
8c:0c:90:2d:7a:b8,Ariel_University,[ESS],2018-11-29 17:21:48,11,-64,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
f0:b4:29:fa:90:5a,mi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-11-29 17:21:48,2,-76,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
e4:6f:13:72:2b:66,Dites,[WPA2-PSK-CCMP][ESS],2018-11-29 17:21:48,1,-83,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
98:e7:f4:39:82:d9,DIRECT-D8-HP OfficeJet Pro 6960,[WPA2-PSK-CCMP][WPS][ESS][P2P],2018-11-29 17:21:48,1,-83,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
f2:b4:29:f8:90:5a,,[ESS],2018-11-29 17:21:48,2,-76,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
24:c9:a1:36:50:98,Ariel_University,[ESS],2018-11-29 17:21:48,1,-78,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
f0:b0:52:3e:d9:bc,Ariel_University,[ESS],2018-11-29 17:21:48,36,-89,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
84:18:3a:04:3f:88,Ariel_University,[ESS],2018-11-29 17:21:48,1,-80,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
f0:b0:52:3e:c8:08,Ariel_University,[ESS],2018-11-29 17:21:48,1,-89,32.1054433333333,35.20544,633.7,3.70000004768372,WIFI
e0:10:7f:1a:95:c8,Ariel_University,[ESS],2018-11-29 17:21:59,1,-67,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
e0:10:7f:09:99:48,Ariel_University,[ESS],2018-11-29 17:21:59,6,-58,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
8c:0c:90:2f:77:68,Ariel_University,[ESS],2018-11-29 17:21:59,1,-70,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
f0:b0:52:3e:d9:b8,Ariel_University,[ESS],2018-11-29 17:21:59,11,-76,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
24:c9:a1:36:2a:68,Ariel_University,[ESS],2018-11-29 17:21:59,6,-53,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
00:25:86:cc:06:92,AUC_109,[ESS],2018-11-29 17:21:59,10,-67,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
84:18:3a:04:41:88,Ariel_University,[ESS],2018-11-29 17:21:59,6,-67,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
f0:b0:52:3e:ca:3c,Ariel_University,[ESS],2018-11-29 17:21:59,36,-87,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
24:c9:a1:36:20:88,Ariel_University,[ESS],2018-11-29 17:21:59,1,-79,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
8c:0c:90:2f:cc:38,Ariel_University,[ESS],2018-11-29 17:21:59,6,-91,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
8c:0c:90:30:05:18,Ariel_University,[ESS],2018-11-29 17:21:59,6,-92,32.1054233333333,35.205455,635.9,3.59999990463257,WIFI
e0:10:7f:1a:95:c8,Ariel_University,[ESS],2018-11-29 17:22:05,1,-58,32.10542,35.2054083333333,636.6,3.70000004768372,WIFI
34:fa:9f:13:de:b8,Ariel_University,[ESS],2018-11-29 17:22:05,11,-65,32.10542,35.2054083333333,636.6,3.70000004768372,WIFI
34:fa:9f:14:a3:ac,Ariel_University,[ESS],2018-11-29 17:22:19,36,-70,32.10537,35.2054116666667,638.2,3.79999995231628,WIFI
34:fa:9f:14:a3:a8,Ariel_University,[ESS],2018-11-29 17:22:19,1,-73,32.10537,35.2054116666667,638.2,3.79999995231628,WIFI
34:fa:9f:14:1a:ec,Ariel_University,[ESS],2018-11-29 17:22:19,44,-79,32.10537,35.2054116666667,638.2,3.79999995231628,WIFI
24:c9:a1:36:51:88,Ariel_University,[ESS],2018-11-29 17:22:22,6,-67,32.10538,35.2054066666667,637.7,3.40000009536743,WIFI
8c:0c:90:2f:cc:08,Ariel_University,[ESS],2018-11-29 17:22:22,1,-75,32.10538,35.2054066666667,637.7,3.40000009536743,WIFI
24:c9:a1:35:bb:08,Ariel_University,[ESS],2018-11-29 17:22:22,6,-65,32.10538,35.2054066666667,637.7,3.40000009536743,WIFI
34:fa:9f:14:1a:ec,Ariel_University,[ESS],2018-11-29 17:22:22,44,-73,32.10538,35.2054066666667,637.7,3.40000009536743,WIFI
98:e7:f4:39:82:d9,DIRECT-D8-HP OfficeJet Pro 6960,[WPA2-PSK-CCMP][WPS][ESS][P2P],2018-11-29 17:22:22,1,-75,32.10538,35.2054066666667,637.7,3.40000009536743,WIFI
8c:0c:90:2f:37:98,Ariel_University,[ESS],2018-11-29 17:22:22,1,-88,32.10538,35.2054066666667,637.7,3.40000009536743,WIFI
2c:5d:93:3e:f5:38,Ariel_University,[ESS],2018-11-29 17:24:21,6,-62,32.1051466666667,35.2056216666667,642,5,WIFI
8c:0c:90:2e:19:08,Ariel_University,[ESS],2018-11-29 17:24:21,6,-56,32.1051466666667,35.2056216666667,642,5,WIFI
34:fa:9f:15:36:98,Ariel_University,[ESS],2018-11-29 17:24:21,11,-84,32.1051466666667,35.2056216666667,642,5,WIFI
50:a7:33:07:59:a8,Ariel_University,[ESS],2018-11-29 17:24:21,11,-67,32.1051466666667,35.2056216666667,642,5,WIFI
84:18:3a:04:3f:88,Ariel_University,[ESS],2018-11-29 17:24:21,1,-68,32.1051466666667,35.2056216666667,642,5,WIFI
8c:0c:90:2f:cc:38,Ariel_University,[ESS],2018-11-29 17:24:21,6,-85,32.1051466666667,35.2056216666667,642,5,WIFI
8c:0c:90:2f:37:98,Ariel_University,[ESS],2018-11-29 17:24:21,1,-73,32.1051466666667,35.2056216666667,642,5,WIFI
34:fa:9f:14:fe:dc,Ariel_University,[ESS],2018-11-29 17:24:21,36,-80,32.1051466666667,35.2056216666667,642,5,WIFI
84:18:3a:04:48:88,Ariel_University,[ESS],2018-11-29 17:24:21,1,-77,32.1051466666667,35.2056216666667,642,5,WIFI
8c:0c:90:2d:79:28,Ariel_University,[ESS],2018-11-29 17:24:21,11,-78,32.1051466666667,35.2056216666667,642,5,WIFI
24:c9:a1:33:34:68,Ariel_University,[ESS],2018-11-29 17:24:21,6,-82,32.1051466666667,35.2056216666667,642,5,WIFI
34:fa:9f:15:3b:bc,Ariel_University,[ESS],2018-11-29 17:24:21,36,-95,32.1051466666667,35.2056216666667,642,5,WIFI
8c:0c:90:2f:c7:48,Ariel_University,[ESS],2018-11-29 17:24:21,1,-75,32.1051466666667,35.2056216666667,642,5,WIFI
6c:aa:b3:08:24:98,Ariel_University,[ESS],2018-11-29 17:24:21,6,-85,32.1051466666667,35.2056216666667,642,5,WIFI
34:fa:9f:15:6e:78,Ariel_University,[ESS],2018-11-29 17:24:21,11,-86,32.1051466666667,35.2056216666667,642,5,WIFI
34:fa:9f:15:6e:7c,Ariel_University,[ESS],2018-11-29 17:24:21,36,-84,32.1051466666667,35.2056216666667,642,5,WIFI
e0:10:7f:09:99:48,Ariel_University,[ESS],1970-01-01 02:00:00,6,-53,32.10538,35.2054066666667,0,32.8825454711914,WIFI
24:c9:a1:76:5c:73,island-365C70,[WPA2-PSK-CCMP][ESS],1970-01-01 02:00:00,11,-70,32.10538,35.2054066666667,0,32.8825454711914,WIFI
62:45:b1:1f:74:bf,,[WEP][ESS],1970-01-01 02:00:00,48,-94,32.10538,35.2054066666667,0,32.8825454711914,WIFI
24:c9:a1:33:34:68,Ariel_University,[ESS],1970-01-01 02:00:00,6,-77,32.10538,35.2054066666667,0,32.8825454711914,WIFI
